R,surv_threshold,n_mites,correct_id
0.1,4,100,0.5218
0.2,4,100,0.7854
0.3,4,100,0.9882
0.5,4,100,0.9998
0.8,4,100,0.9996
1.0,4,100,0.9998
0.01,5,100,0.4986
0.05,5,100,0.5016
0.1,5,100,0.5122
0.2,5,100,0.6838
0.3,5,100,0.9668
0.5,5,100,1.0
0.8,5,100,1.0
1.0,5,100,1.0
0.01,6,100,0.498
0.05,6,100,0.4984
0.1,6,100,0.4966
0.2,6,100,0.6004
0.3,6,100,0.929
0.5,6,100,1.0
0.8,6,100,1.0
1.0,6,100,1.0
0.01,7,100,0.5016
0.05,7,100,0.4852
0.1,7,100,0.5094
0.2,7,100,0.5478
0.3,7,100,0.8788
0.5,7,100,1.0
0.8,7,100,1.0
1.0,7,100,1.0
0.01,8,100,0.4928
0.05,8,100,0.5014
0.1,8,100,0.5222
0.2,8,100,0.5322
0.3,8,100,0.8126
0.5,8,100,1.0
0.8,8,100,1.0
1.0,8,100,1.0
0.01,9,100,0.4984
0.05,9,100,0.4976
0.1,9,100,0.507
0.2,9,100,0.5014
0.3,9,100,0.7374
0.5,9,100,1.0
0.8,9,100,1.0
1.0,9,100,1.0
0.01,10,100,0.487
0.05,10,100,0.5088
0.1,10,100,0.4892
0.2,10,100,0.4996
0.3,10,100,0.6764
0.5,10,100,1.0
0.8,10,100,1.0
1.0,10,100,1.0
0.01,1,300,0.515
0.05,1,300,0.6052
0.1,1,300,0.6722
0.2,1,300,0.6964
0.3,1,300,0.6902
0.5,1,300,0.697
0.8,1,300,0.6918
1.0,1,300,0.6874
0.01,2,300,0.5224
0.05,2,300,0.6142
0.1,2,300,0.8108
0.2,2,300,0.873
0.3,2,300,0.8804
0.5,2,300,0.8674
0.8,2,300,0.8736
1.0,2,300,0.8672
0.01,3,300,0.502
0.05,3,300,0.572
0.1,3,300,0.82
0.2,3,300,0.9626
0.3,3,300,0.9646
0.5,3,300,0.9672
0.8,3,300,0.9602
1.0,3,300,0.9602
0.01,4,300,0.4996
0.05,4,300,0.5426
0.1,4,300,0.7386
0.2,4,300,0.9898
0.3,4,300,0.9916
0.5,4,300,0.9916
0.8,4,300,0.9874
1.0,4,300,0.991
0.01,5,300,0.49
0.05,5,300,0.519
0.1,5,300,0.6534
0.2,5,300,0.996
0.3,5,300,0.9988
0.5,5,300,0.9982
0.8,5,300,0.9986
1.0,5,300,0.9994
0.01,6,300,0.5094
0.05,6,300,0.4974
0.1,6,300,0.5884
0.2,6,300,0.991
0.3,6,300,0.9998
0.5,6,300,0.9996
0.8,6,300,0.9996
1.0,6,300,0.9998
0.01,7,300,0.4998
0.05,7,300,0.5084
0.1,7,300,0.5362
0.2,7,300,0.9786
0.3,7,300,1.0
0.5,7,300,1.0
0.8,7,300,1.0
1.0,7,300,1.0
0.01,8,300,0.5018
0.05,8,300,0.508
0.1,8,300,0.5
0.2,8,300,0.9578
0.3,8,300,1.0
0.5,8,300,1.0
0.8,8,300,1.0
1.0,8,300,1.0
0.01,9,300,0.494
0.05,9,300,0.4898
0.1,9,300,0.5154
0.2,9,300,0.9202
0.3,9,300,1.0
0.5,9,300,1.0
0.8,9,300,1.0
1.0,9,300,1.0
0.01,10,300,0.4978
0.05,10,300,0.5006
0.1,10,300,0.4998
0.2,10,300,0.8734
0.3,10,300,1.0
0.5,10,300,1.0
0.8,10,300,1.0
1.0,10,300,1.0
0.01,1,1000,0.494
0.05,1,1000,0.5264
0.1,1,1000,0.522
0.2,1,1000,0.5142
0.3,1,1000,0.5188
0.5,1,1000,0.4994
0.8,1,1000,0.5294
1.0,1,1000,0.5154
0.01,2,1000,0.51
0.05,2,1000,0.5524
0.1,2,1000,0.5786
0.2,2,1000,0.5654
0.3,2,1000,0.586
0.5,2,1000,0.592
0.8,2,1000,0.5894
1.0,2,1000,0.5798
0.01,3,1000,0.5064
0.05,3,1000,0.6466
0.1,3,1000,0.697
0.2,3,1000,0.6898
0.3,3,1000,0.6862
0.5,3,1000,0.6916
0.8,3,1000,0.6768
1.0,3,1000,0.6822
0.01,4,1000,0.5106
0.05,4,1000,0.694
0.1,4,1000,0.7932
0.2,4,1000,0.8008
0.3,4,1000,0.8078
0.5,4,1000,0.7978
0.8,4,1000,0.7992
1.0,4,1000,0.801
0.01,5,1000,0.518
0.05,5,1000,0.7148
0.1,5,1000,0.8908
0.2,5,1000,0.8906
0.3,5,1000,0.892
0.5,5,1000,0.8924
0.8,5,1000,0.8884
1.0,5,1000,0.8892
0.01,6,1000,0.5034
0.05,6,1000,0.6888
